14895 	 998 
13989 	 92 
33153 	 14 
13918 	 21 
38119 	 704 
35234 	 1026 
41824 	 133 
13192 	 364 
23388 	 939 
18860 	 687 
16712 	 677 
30465 	 533 
37786 	 371 
35374 	 97 
28743 	 949 
37811 	 396 
20154 	 912 
31347 	 346 
15055 	 89 
24917 	 330 
24673 	 86 
20246 	 1004 
13405 	 577 
20868 	 557 
12169 	 410 
24506 	 988 
28761 	 967 
39702 	 149 
33924 	 785 
19708 	 466 
24637 	 50 
12203 	 444 
30781 	 849 
17062 	 1027 
23802 	 284 
12164 	 405 
26818 	 93 
10789 	 99 
24472 	 954 
20377 	 66 
38655 	 171 
24894 	 307 
11548 	 858 
26085 	 429 
20940 	 629 
18684 	 511 
31150 	 149 
36869 	 523 
21035 	 724 
16621 	 586 
18171 	 1067 
10241 	 620 
11466 	 776 
25230 	 643 
33241 	 102 
31594 	 593 
31952 	 951 
37123 	 777 
41769 	 78 
30885 	 953 
11222 	 532 
12555 	 796 
22530 	 81 
18054 	 950 
31538 	 537 
40244 	 691 
29964 	 32 
31265 	 264 
12924 	 96 
10827 	 137 
14633 	 736 
24284 	 766 
38731 	 247 
20503 	 192 
41819 	 128 
33993 	 854 
37440 	 25 
19015 	 842 
24546 	 1028 
35123 	 915 
42310 	 619 
17832 	 728 
37028 	 682 
19831 	 589 
38679 	 195 
28059 	 265 
29906 	 1043 
36885 	 539 
30723 	 791 
28103 	 309 
13257 	 429 
39943 	 390 
25581 	 994 
15371 	 405 
20278 	 1036 
33362 	 223 
42390 	 699 
16054 	 19 
32894 	 824 
37338 	 992 
